directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0229182,3.7,130,391,Ramón Salazar,10.000 noches en ninguna parte,Stones,Sunday's Illness
nm0229210,7.4,567,8505,Michel Gondry,Be Kind Rewind,The Science of Sleep,The We and the I
nm0229235,7.0,58,1572,Jodie Markell,Hollywood Ending,Mystery Train,The Loss of a Teardrop Diamond
nm0229283,7.3,148,296,Paula van der Oest,The Domino Effect,Black Butterflies,Zus & Zo
nm0229301,7.4,1268,8879,Teinosuke Kinugasa,Aru yo no tonosama,Daibutsu kaigen,Gate of Hell
nm0229419,5.6,8,40,László Cserépy,Az elsö,Lelki klinika,Cserebere
nm0229424,6.6,3073,2247063,Mariya Sauts,Kreyser 'Varyag',Zhila-byla devochka,Krasnyy galstuk
nm0229445,6.3,25,466,Hiroshi Inagaki,The Rickshaw Man,Arashi,Yagyû bugeichô
nm0229483,5.0,6,6,Ivo Caprino,Ugler i mosen,The Pinchcliffe Grand Prix,Truls og Trine
nm0229492,6.4,205,1846,Vytautas Zalakevicius,Gyvieji didvyriai,Nobody Wanted to Die,Story of an Unknown Man
nm0229544,4.2,2815,45041,Frederic Goode,The Syndicate,Stop-over Forever,Valley of the Kings
nm0229578,6.2,12,50,Arunas Zebriunas,Devil's Bride,Gyvieji didvyriai,Chas polnoluniya
nm0229665,5.1,431,862,Naum Birman,Ya sluzhu na granitse,My smerti smotreli v litso,Magiya chyornaya i belaya
nm0229694,6.5,147394,22256604,Gunars Cilinskis,Kogda sdayut tormoza,A Birdless Night,Ezera Sonate
nm0229724,6.6,42,42,Ioan Cãrmãzan,Margo,The Wood Cutters,Casa din vis
nm0229741,6.7,67,804,Veselin Branev,Ubiystva,Hotel Central,Nay-dalgata nosht
nm0229962,6.1,224,5614,Tugo Stiglic,A Summer in a Sea Shell,Poletje v skoljki 2,Tantadruj
nm0230032,8.2,680598,78949476,Leon Hirszman,Imagens do Inconsciente,They Don't Wear Black Tie,São Bernardo
nm0230228,3.2,16,16,Paulo César Saraceni,Capitu,O Viajante,Ao Sul do Meu Corpo
nm0230279,5.7,382,5742,Ebrahim Hatamikia,In the Name of the Father,The Color Purple,Bodyguard
nm0230286,6.2,5439,76146,Guido Chiesa,Il caso Martello,Non mi basta mai,Babylon: la paura è la migliore amica dell'uomo
nm0230378,6.2,148,445,Daniele Vicari,The Human Cargo,Diaz - Don't Clean Up This Blood,Maximum Velocity (V-Max)
nm0230629,4.0,549,6596,Vinko Bresan,Witnesses,Marsal,How the War Started on My Island
nm0230666,6.5,62115,1242300,Barbara Kopple,Shut Up & Sing,Harlan County U.S.A.,American Dream
nm0230695,6.2,251,26125,Cecilia Peck,Shut Up & Sing,Torn Apart,Brave Miss World
nm0230822,7.6,15,15,Robert Favreau,A Sunday in Kigali,Portion d'éternité,The Orphan Muses
nm0230859,7.2,21265,2573122,Marcelo Piñeyro,Ashes of Paradise,The Method,Burnt Money
nm0230888,5.2,63,1261,Aparna Sen,The Japanese Wife,36 Chowringhee Lane,House of Memories
nm0230958,5.4,18,18,Mark Lewis,Rat,Cane Toads: An Unnatural History,The Natural History of the Chicken
nm0231042,7.5,10,112,Jerzy Stuhr,Big Animal,Camera Buff,Tydzien z zycia mezczyzny
nm0231151,7.4,699,22373,Alessandro Piva,La capa gira,Pasta nera,My Brother-In-Law
nm0231280,5.8,13,55,Fenton Bailey,Party Monster,The Eyes of Tammy Faye,Party Monster
nm0231319,4.2,41,415,Alain Cavalier,Libera me,Un étrange voyage,Thérèse
nm0231397,5.4,7,14,Judith Colell,Women,53 días de invierno,El domini del sentits
nm0231547,9.3,18,18,Lucky McKee,The Woman,May,Red
nm0231988,3.8,17,34,Philippe Falardeau,Congorama,My Internship in Canada,"It's Not Me, I Swear!"
nm0231999,7.2,704,7045,Vanessa Jopp,Engel & Joe,Honolulu,Forget America
nm0232003,4.2,61,183,Walter Bernstein,Annie Hall,The Front,Yanks
nm0232196,7.5,26,26,Ibolya Fekete,Mom and Other Loonies in the Family,Bolse vita,Falfúró
nm0232382,5.7,453,13151,Julio Medem,Sex and Lucía,Lovers of the Arctic Circle,Vacas
nm0232432,7.6,103,103,Jan Cvitkovic,Archeo,Druzinica,Bread and Milk
nm0232472,7.7,80,482,Lodewijk Crijns,Only Decent People,Jesus Is a Palestinian,With Great Joy
nm0232504,6.8,3683,257878,Marisa Sistach,The Girl on the Stone,La línea paterna,The Comet
nm0232527,6.0,110,2755,Henry Bean,The Believer,Deep Cover,Basic Instinct 2
nm0232540,6.5,68,3212,Michael Caton-Jones,Rob Roy,Urban Hymn,Basic Instinct 2
nm0232807,5.7,129,11998,Alexander Payne,The Descendants,Nebraska,Sideways
nm0232858,5.5,9250,83250,György Pálfi,Free Fall,Taxidermia,His Master's Voice
nm0233050,5.5,397,12311,Paul Fisher,How to Train Your Dragon,Shrek Forever After,The Lego Ninjago Movie
nm0233078,4.5,3411,92107,Karyn Kusama,Destroyer,The Invitation,Girlfight
nm0233091,6.9,129,15593,L. James Langlois,Indiana Jones and the Last Crusade,Clueless,Back to the Future Part II
