directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0665913,6.3,36,73,Pantham Thongsangl,I-Fak,Laa-thaa-phii,Mid Road Gang 2
nm0665951,4.7,2783,33396,Adolf Zika,"Jan Saudek: Trapped by His Passions, No Hope for Rescue",Rumbling,Le Mans Phenomenon
nm0665976,5.1,33,231,J.V.V. Sathyanarayana,Chandamama,Magadheera,Wanderer (I)
nm0665993,6.1,262,14148,Thomas P. Clay,13 Sins,The Message,House of Blood
nm0666121,4.1,236,708,Jason Hewitt,13 Sins,Odd Thomas,Abduction of Jesse Bookman
nm0666209,5.2,59,718,Clyde Risley Jones,13 Sins,Who Killed Soul Glow?,Coming to America
nm0666369,7.3,112,1238,Jay Lavender,The Wedding Ringer,The Fluffy Movie: Unity Through Laughter,The Break-Up
nm0666388,6.4,2151,10758,Cliff Reed,Love... & Other 4 Letter Words,After School,Forget Paris
nm0666610,7.9,810,4865,Shimako Sato,Eko Eko Azarak: Wizard of Darkness,Eko Eko Azarak II: Birth of the Wizard,Tale of a Vampire
nm0666640,6.1,1179,18874,Basu Chatterjee,Swami,Sara Akash,Rajnigandha
nm0666674,8.2,63,828,Vijay,Madrasapattinam,Thaandavam,Diya
nm0666675,8.1,22,68,Kathleen Man Gyllenhaal,In Utero,Grassroots,Beauty Mark
nm0666676,8.1,22,68,Bob Fink,Wally,Grassroots,The Immaculate Conception of Little Dizzle
nm0666702,4.8,1435,15791,Aaron Stielstra,Landing Lake,The Blind King,Anger of the Dead
nm0666732,9.0,9,9,Lyudmila Steblyanko,Little Longnose,"The Tale of Soldier Fedot, The Daring Fellow",Alyosha Popovich and Tugarin Zmey
nm0666794,8.6,13,13,Konstantin Feoktistov,Three Heroes on Distant Shores,Tri bogatyrya: Khod konem,Alyosha Popovich and Tugarin Zmey
nm0666795,7.2,13,13,Henrik Peschel,Pete the Heat,Madboy,Si-o-se Pol
nm0666802,6.9,74094,2148726,Rashid Masharawi,Ticket to Jerusalem,Waiting,Laila's Birthday
nm0666999,3.7,510,11738,Christoph Schlingensief,Menu total,Egomania - Insel ohne Hoffnung,Mutters Maske
nm0667038,4.2,125,376,Sabine El Gemayel,Niloofar,Generation Zapped,The Immortals
nm0667041,5.6,105,1052,Tao Ruspoli,Being in the World,Fix,Savages
nm0667182,5.4,175,1575,Negin Farsad,Dean,Nerdcore Rising,A Cricket in the Court of Akbar
nm0667447,6.2,132,132,Pedro Ultreras,7 soles,The Beast,ABC Nunca Más
nm0667541,7.6,82,82,Ryan Piers Williams,X/Y,Ocean's Thirteen,Thick as Thieves
nm0667575,6.0,13,148,Jonathan Lim,The Jade Pendant,Slam,Pali Road
nm0667734,7.0,22334,2077069,Peter Sanders,Defying Gravity,Altina,The Disappeared
nm0667862,6.6,90,90,Jonas Frei,Panamericana - Life at the Longest Road on Earth,Camino de Santiago,Silvesterchlausen
nm0667870,7.5,287,9783,Giselle Fernandez,Wag the Dog,Bodily Sanctions,The Hot Chick
nm0667887,5.5,38,115,Stefano Incerti,Il verificatore,L'uomo di vetro,Prima del tramonto
nm0668165,6.4,703,14777,Dinesh Vijan,Love Aaj Kal,Cocktail,Hindi Medium
nm0668172,6.8,407,3663,Jorge Polaco,Kindergarten,En el nombre del hijo,Journey Through the Body
nm0668199,6.2,89,625,Mark Alexander Todd,The Muppet Christmas Carol,Bad Reception,Get the Girl
nm0668247,7.1,122244,22248551,Tanem Davidson,Cherish,Dopamine,New Brow: Contemporary Underground Art
nm0668292,4.9,4059,186752,David Matheny,Lemon,Oh Lucy!,Ashes in the Snow
nm0668361,4.9,39,39,Larry Wade Carrell,Vlad's legacy,Jacob,She Rises
nm0668453,7.1,41,499,Arthur Muhammad,Carter High,Black Angels,Interstate 60: Episodes of the Road
nm0668640,4.0,580,580,Jeff Mizushima,Etienne!,Salad Days,Sake-Bomb
nm0668646,6.7,49,347,Mitch Dickman,Hanna Ranch,Rolling Papers,Being Evel
nm0668824,5.5,49,541,Robert Krantz,Christmas with the Karountzoses,Back to the Future,Do You Wanna Dance?
nm0668853,3.5,170,170,Paul Sanchez,Cast Away,Platoon,Miller's Crossing
nm0668982,5.5,108,540,Andersen Gabrych,Another Gay Sequel: Gays Gone Wild!,Edge of Seventeen,The Look
nm0669213,8.3,82,82,Jeffrey Andersen,40 Days and 40 Nights,Deeper: The Retribution of Beth,Last Night in Suburbia
nm0669637,7.5,3479,38276,Yong-man Kim,Woochi,301/302,Haksaeng bukgun shinwi
nm0669704,7.1,6462,310221,Jacob Gillman,Snow White and the Huntsman,Sucker Punch,TRON: Legacy
nm0669840,3.9,22,68,Morgan Neville,The Music of Strangers,Won't You Be My Neighbor?,20 Feet from Stardom
nm0670196,6.7,171,342,Dana Sustin,No Bad Days,NICK: Biography of a Determined Man,First Strike
nm0670262,5.6,49,745,Alexis Spraic,Wristcutters: A Love Story,Red Sands,Ray Charles America
nm0670559,6.0,56,224,Daniel Garcia,H.,Recommended by Enrique,"OK, Enough, Goodbye"
nm0670580,4.7,157,157,Kyu-hwan Jeon,Dance Town,Angry Painter,Animal Town
nm0670612,7.7,6,6,Thanh Son Le,The Rebel,Long Ruoi,Jailbait
nm0670670,6.0,170,3073,Enrique Collar,Miramenometokei,Costa Dulce,Novena
nm0670703,8.6,21,127,Antoine Santana,"Little Indian, Big City",A Moment of Happiness,A Song of Innocence
nm0670757,6.5,51,103,Stephane Gauger,Sài Gòn Yo!,Kiss & Spell,Six-String Samurai
nm0670791,7.2,70,140,Kiyoshi Sasabe,The Stars Converge,Kekkon shiyou yo,Half a Confession
nm0670808,6.9,1619,21047,Mohana Krishna Indraganti,Ami Thumi,Anthaka Mundu Aa Tarvatha,Grahanam
nm0670982,4.8,32,64,Vic Losick,Horowitz Plays Mozart,Last Dance,In God We Teach
nm0670990,6.0,449,7639,Mitch Schultz,Stepping Into the Fire,Aya: Awakenings,Cancerpants
nm0671060,4.8,685,28779,Chris LaMartina,Book of Lore,WNUF Halloween Special,Call Girl of Cthulhu
nm0671079,3.5,56,170,Daniela Garcia,Demonica's Reign,Little Big Boy,Sinister Visions
nm0671105,5.9,284,2274,Ido Fluk,The Ticket,The Abandoned,Never Too Late
nm0671210,6.7,35844,4265523,Mike Landry,The Lifeguard,The Abandoned,Rosencrantz and Guildenstern Are Undead
nm0671213,6.4,68,272,Sam Jaeger,Lucky Number Slevin,Inherent Vice,American Sniper
nm0671279,5.6,56,56,Rahul Dholakia,Parzania,Lamhaa: The Untold Story of Kashmir,Society Kaam Se Gayi
nm0671490,5.8,54,162,Lester Hamlet,Casa Vieja,Fabula,Tres veces dos
nm0671557,7.2,73,73,Russell Parks,Nightmare Fuel,Mountain Mafia,Loss Prevention
nm0671569,3.7,495,1980,David Gooslin,Postpartum,Mountain Mafia,C.R.Y. The Video Diary of Calvin Ray Young
nm0671640,7.3,123,740,Perry Moore,Lake City,The Chronicles of Narnia: The Voyage of the Dawn Treader,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
nm0671831,5.7,20,473,Cassidy Curtis,The Art of Survival,Penguins of Madagascar,Turbo
nm0671834,6.0,34,871,Ennio Torresan,Madagascar 3: Europe's Most Wanted,Until Sbornia Takes Us Apart,Turbo
nm0671862,5.9,3139,1051692,Chris Kazmier,Titan A.E.,Cloudy with a Chance of Meatballs 2,The Amazing Spider-Man 2
nm0671957,7.2,19009,5322785,Kevin Michael Murphy,Money Monster,Suburbicon,The Amazing Spider-Man 2
nm0672015,6.4,4526,72420,Marcelo Galvão,Buddies,Farewell,The Killer
nm0672060,7.5,2193,133782,Djuna Wahlrab,Hostiles,Logan Lucky,It Comes at Night
nm0672394,5.8,29,87,Kate Cohen,Dream in American,The Call,Grooming Giselle
nm0672437,6.8,18,54,Henry Luk,Road to Hell,Pound of Flesh,The Dark Forest
nm0672459,6.5,5628,112560,Aki Aleong,The Hanoi Hilton,Pound of Flesh,Superhero Movie
nm0672543,5.7,958,24920,Frank Lotito,Growing Up Smith,The Lookalike,Big Mamma's Boy
nm0672597,6.4,14,14,Yu Sun,Wild Flower,Wild Rose,Daybreak
nm0672704,5.9,869,19999,Masao Adachi,Datai,Caterpillar,The Prisoner
nm0673049,6.8,44,267,David Secter,The Offering,Cyberdorm,Getting Together
nm0673051,6.7,478,28700,Hussein Kamal,Emberatoriet meem,Abi foq al-Shagara,The Postman
nm0673087,6.1,130,910,Tahir Hussain,Caravan,Tum Mere Ho,Hum Hain Rahi Pyar Ke
nm0673202,7.0,23,46,Gilles Groulx,Where Are You Then?,Entre tu et vous,Au pays de Zom
nm0673229,7.0,946,2838,S.S. Balan,Teen Bahuraniyan,Lakhon Me Ek,Sanjog
nm0673268,4.4,268,1608,Shankar Mukherjee,Banarasi Babu,Pyar Mohabbat,Faraar
nm0673278,7.5,56,616,Jeremias Moreira Filho,O Menino da Porteira,Black Beetle,Querida Mamãe
nm0673297,6.4,314,3457,Tarun Majumdar,Nimantran,Bhalobasar Anek Naam,Fuleswari
nm0673664,2.6,104,626,Mahmoud Ben Mahmoud,Fatwa,Les siestes Grenadine,Le Professeur
nm0673754,7.2,52,1266,C.V. Sridhar,Pyar Kiye Jaa,Nazrana,Dil Ek Mandir
nm0673830,5.3,161,2264,Walter Hugo Khouri,"Eros, O Deus do Amor",O Anjo da Noite,In the Devil's Throat
nm0673912,8.1,13,41,Nouri Bouzid,Bent familia,Clay Dolls,Making Of
nm0674020,5.3,10858,314884,Jim Agnew,Game of Death,Rage,The Capture
nm0674034,6.7,1003,11042,Kevin Budzynski,Game of Death,30 Minutes or Less,The Fly
nm0674432,4.6,146,292,Gaetano Kazuo Maida,Peace Is Every Step: Meditation in Action: The Life and Work of Thich Nhat Hanh,Milarepa,Rock Soup
nm0674529,7.8,107,2686,Neten Chokling,The Cup,Milarepa,Brilliant Moon: Glimpses of Dilgo Khyentse Rinpoche
nm0674572,5.6,29,356,Tim Martin Crouse,The Orchard,Redemption,The Suckling
nm0674635,6.3,22,22,Cheol-su Park,Green Chair,Haksaeng bukgun shinwi,Bongja
nm0674735,4.8,62,311,Michael Wolk,Innocent Blood,Deep Six,Explicit Ills
nm0674742,7.7,7636,427634,Baird Bryant,Eliminators,The Delta Force,Barfly
nm0674751,5.4,23,117,'Evil' Ted Smith,The Fifth Element,Spy Kids,House of 1000 Corpses
nm0674927,5.6,12,61,Jared Abrams,Frequency,The Board of Education,House of 1000 Corpses
nm0674948,4.7,141,4796,John Greyson,Urinal,Zero Patience,Lilies
nm0675235,6.1,1118,13416,Jaideep Sen,Krrish,Jeet,Krrish 3
nm0675257,6.4,3504,31544,Petr Václav,Marian,The Way Out,Parallel Worlds
nm0675502,7.1,205,2260,Lloyd A. Silverman,Snow Falling on Cedars,Shattered Image,"A Girl, Three Guys, and a Gun"
nm0675673,5.3,64,448,Randy Ser,Act of Valor,The Mighty Ducks,All You Need
nm0675751,6.7,20,141,Martin Huberty,Deserter,The Mighty Ducks,Red Corner
nm0675814,6.6,14,42,Mark Kozelek,Vanilla Sky,Youth,Almost Famous
nm0675929,2.0,438,1752,Cecilia Hyoun,Hot Tub Time Machine,The Siege,Almost Famous
nm0676113,8.1,7,7,Saar Klein,Jumper,After the Fall,Almost Famous
nm0676336,5.6,3874,108474,Chuck Williams,Near Dark,Straight Into Darkness,Pirates of the Caribbean: On Stranger Tides
nm0676577,5.9,1514,56020,Craig Hoffmann,Godzilla,Battleship,Pirates of the Caribbean: On Stranger Tides
nm0676881,5.6,49,49,Joe Badiali,Bright,Stolen,Pirates of the Caribbean: On Stranger Tides
nm0676956,6.2,97,97,Michael Gornick,Martin,Day of the Dead,Creepshow
nm0677037,8.3,830666,29903976,Lisandro Alonso,Los Muertos,Liverpool,Jauja
nm0677253,4.7,246,4677,José Joffily,Who Killed Pixote?,A Maldição do Sanpaku,O Chamado de Deus
nm0677551,5.7,152,3808,Tim McCann,Nowhere Man,Revolution #9,All Mistakes Buried
nm0677698,6.2,19,273,Antonia Bogdanovich,Six LA Love Stories,The Witches of Eastwick,The Lion King
nm0677700,4.9,54,436,Don Hahn,The Lion King,The Hunchback of Notre Dame,Atlantis: The Lost Empire
nm0677758,7.5,58,348,Sean Gallimore,The Lion King,Hercules,Atlantis: The Lost Empire
nm0677806,4.5,13,13,Joel Berke,An Unkindness of Ravens,Lilo & Stitch,Atlantis: The Lost Empire
nm0677831,6.1,165,1155,Erika Dapkewicz,Paradox Alice,Monsters vs. Aliens,Lilo & Stitch
nm0677880,7.3,2200,316920,Ferne Pearlstein,Sumo East and West,The Last Laugh,Imelda
nm0677892,6.2,160,2731,Bashar Shbib,Lana in Love,Julia Has Two Lovers,Strictly Spanking
nm0677943,5.1,7900,165908,Liang Ying,The Other Half,A Family Tour,When Night Falls
nm0677951,6.1,2937,678530,Matthew Doyle,Phantom Images,15 Till Midnight,Disquiet
nm0677953,5.8,63999,16767898,Darryl Roberts,The Perfect Model,How U Like Me Now,America the Beautiful
nm0678072,4.7,548,9320,John Gianvito,Vapor Trail (Clark),The Mad Songs of Fernanda Hussein,Profit Motive and the Whispering Wind
nm0678075,5.0,37,188,Lee Isaac Chung,Lucky Life,Abigail Harm,Munyurangabo
nm0678104,6.0,8214,156077,Naoto Kumazawa,Yurigokoro,Oto-na-ri,Vanished
nm0678136,6.7,105,105,Kunal Deshmukh,Tum Mile,Jannat: In Search of Heaven...,Raja Natwarlal
nm0678203,7.0,84,6941,André Schneider,Le deuxième commencement,Men to Kiss,Der Mann im Keller
nm0678230,6.0,40,40,Laurence N. Kaldor,Daydreamer,Redirecting Eddie,Journey of Echoes
nm0678249,7.2,752,39865,Steve Loff,Salt,Jumper,The Dark Tower
nm0678389,5.9,11,23,Michael Lee Nirenberg,Salt,Date Night,Cop Out
nm0678450,6.2,1528,13753,Jeff Barry,The Company Men,Date Night,"Occupy, Texas"
nm0678636,7.5,22,45,Equan Choi,Mama,Three Friends,Voice
nm0678646,4.5,2287,6861,John Schuermann,Hick Trek: The Moovie,Suicide Run,Halcyon
nm0678679,7.1,39,196,David Paige,The Artist,White Whale,Big Stan
nm0678857,7.1,6369,566852,Andy Brown,Port City,This Is What Remains,No Turning Back
nm0678907,7.1,202,2626,Albert Chi,50 First Dates,The Master,Inherent Vice
nm0678928,6.4,558,252267,Theo Crisell,Little Fockers,The Master,Dinner with the Dons
nm0678932,7.2,11,99,Anthony Arnove,Dirty Wars,The People Speak,The People Speak UK
nm0679018,8.0,28,28,Tomer Heymann,Jonathan Agassi Saved My Life,Who's Gonna Love Me Now?,Paper Dolls
nm0679154,6.1,275,3307,Elliot Berlin,Bedford: The Town They Left Behind,Common Threads: Stories from the Quilt,Paper Clips
nm0679445,3.7,20,143,Sam Patton,The Call,Last Vegas,The Purge
nm0679528,6.4,34,717,Bradley Gallo,The Call,Them That Follow,Mr. Right
nm0679621,5.2,81,162,Max Landis,American Ultra,Bright,Mr. Right
nm0679806,7.0,139,556,Sandra Luckow,Belly Talkers,That Way Madness Lies...,Point of No Return
nm0679914,7.4,33,33,Devin Adair,Betting on Zero,Break Point,Emoticon ;)
nm0679928,7.4,2839,156188,Tiller Russell,The Last Rites of Ransom Pride,Bernie,Cockfight
nm0679944,6.1,82,164,Arjun,Gentleman,Mudhalvan,Sollividava
nm0679951,4.9,1846,16622,Casey Affleck,Manchester by the Sea,Ocean's Eleven,The Assassination of Jesse James by the Coward Robert Ford
nm0679959,5.6,107,1284,Scott L. Schwartz,Changing Hands,Ocean's Eleven,Starsky & Hutch
nm0680109,6.1,77,1158,Jody Lee Lipes,Manchester by the Sea,Extremely Loud & Incredibly Close,Brock Enright: Good Times Will Never Be the Same
nm0680846,6.7,282533,74306359,Rita Azevedo Gomes,A Vingança de Uma Mulher,Correspondências,The Portuguese Woman
nm0680889,6.7,6441,148161,Gerry Levy,Where Has Poor Mickey Gone?,Gandhi,Out of Africa
nm0681115,7.3,374,748,Surrender Reddy,Athidhi,Kick,Race Gurram
nm0681162,6.5,13,13,Vikram Sirikonda,Konchem Ishtam Konchem Kashtam,Mirapakai,Race Gurram
nm0681207,7.1,2255,191699,Vakkantham Vamsi,Kick,Kick,Oosaravelli
nm0681311,7.5,197,591,Julia Bacha,Budrus,Encounter Point,Naila and the Uprising
nm0681401,7.0,644,6447,Tony Au,The Grandmaster,Nan Jing de ji du,Boat People
nm0681467,6.8,163,1143,Tetsuya Nakashima,Confessions,Kamikaze Girls,The World of Kanako
nm0681535,6.7,542,26571,Scott Ballard,Welcoming Departure,Death on a Rock,A Standing Still
nm0681566,5.3,47,475,Jenny Carchman,Public Speaking,Enlighten Us,Long Strange Trip
nm0681604,3.8,649,4548,Amy Sultan,Summer Catch,Out Cold,To Be Heard
nm0681635,6.7,1184,435976,Pamela B. Green,Jason Bourne,Be Natural: The Untold Story of Alice Guy-Blaché,The Kingdom
nm0681695,6.5,1151,26488,Jason Rodriguez,Iron Man,Cowboys & Aliens,The Kingdom
nm0681933,7.3,104,936,Maruthi Dasari,Sailaja Reddy Alludu,Ee Rojullo,Prema Katha Chitram
nm0682061,5.7,604,6649,Jeffrey Schwarz,The Fabulous Allan Carr,Vito,I Am Divine
nm0682150,5.2,103,414,Naresh Malhotra,Kranti,Yeh Dillagi,Achanak
nm0682251,5.4,967,13539,M. Manikandan,Aandavan Kattalai,Kirumi,Kaakkaa Muttai
nm0682287,3.1,616,19111,Ric McCloud,Thieves Like Us,Dispatched,Unholy Reunion
nm0682309,5.2,1435,137839,Bob Hercules,Maya Angelou and Still I Rise,A Good Man,Forgiving Dr. Mengele
nm0682592,5.0,59,5688,Milos Twilight,Gothic Assassins Redux,Fallen Angels,The Sanctuary
nm0682655,4.2,12,24,Mahmoud Kalari,The Past,The Cloud and the Rising Sun,The Pear Tree
nm0682725,6.8,165,331,Abhishek Chaubey,Omkara,Udta Punjab,Ishqiya
nm0682744,5.3,390,6644,Kazuo Hara,The Many Faces of Chika,A Dedicated Life,Goodbye CP
nm0682749,5.2,28,2912,Jim Taylor,Power to the People with Johan Norberg,Free or Equal: A Personal View by Johan Norberg,"The Real Adam Smith, a Personal Exploration by Johan Norberg"
nm0682777,6.0,333,2666,Abby Martin,Chevron vs. The Amazon,Bestseller,99%: The Occupy Wall Street Collaborative Film
nm0682851,6.4,909,17271,Dani Menkin,39 Pounds of Love,Is That You?,Dolphin Boy
nm0682881,6.9,372,52088,Val Kilmer,The Doors,The Salton Sea,The Saint
nm0682906,3.8,12,24,Joseph G. Eckardt,Pearl Harbor,The Salton Sea,Gone in 60 Seconds
nm0682913,6.0,118,355,Raúl Marchand Sánchez,12 Hours,Broche de Oro,Ovni
nm0683248,7.8,14,14,Dustin Cook,I Hate the Man in My Basement,The Frontier,Flock of Four
nm0683400,8.1,967,9671,Webb Wilcoxen,Raw Nerve,The Frontier,A Time to Dance: The Life and Work of Norma Canner
nm0683435,7.0,55,330,Ian Brownell,Barracuda,1985,A Time to Dance: The Life and Work of Norma Canner
nm0683442,4.0,7,14,Lysa Heslov,Terror in Beverly Hills,Served Like a Girl,Attention Shoppers
nm0683578,5.3,4238,224663,Rodrigo de Oliveira,Todos os Paulos do Mundo,As Horas Vulgares,"Teobaldo Morto, Romeu Exilado"
nm0683597,7.4,434,6953,Vitor Graize,Araby,As Horas Vulgares,The Sun Against My Eyes
nm0683768,7.9,7,7,J.T. Haines,Gold Fever,Pond Hockey,Generation Mason
nm0683876,6.7,148,148,David Shannon,How to Answer the Fool,Dark House,Hayflick Limit
nm0683909,7.2,18,73,Catherine Gund,On Hostile Ground,What's on Your Plate?,Chavela
nm0683993,6.2,149,3733,Paul Kiener,Cataract Gold,Savage Water,Wendigo
nm0684006,6.6,59,417,Chito S. Roño,Lea's Story,Emir,The Seventies
nm0684127,7.6,740,4443,John Mann,American Sniper,Species,Cowboys & Aliens
nm0684154,5.6,66,531,Brien Burroughs,X-Men: First Class,Suckerfish,Cowboys & Aliens
nm0684175,5.3,91,1827,Dan Perri,Congo,Species,15 Minutes
nm0684226,5.9,585,24575,Amanda Ladd-Jones,The Astronaut's Wife,Conspiracy Theory,15 Minutes
nm0684310,4.6,68,205,Julián Hernández,Broken Sky,A Thousand Peace Clouds Encircle the Sky,"Raging Sun, Raging Sky"
nm0684314,6.7,120,2173,Rebecca Ulmo,Triple 9,Creed,The Fate of the Furious
nm0684336,6.1,95485,6970427,Kim Jorgensen,Out of Africa,The Kentucky Fried Movie,Emilio
nm0684342,8.0,569249,18785217,Cristian Comeaga,Cel ales,Asphalt Tango,The Rest is Silence
nm0684350,7.6,149,299,Janaya Black,Till Death... Do Us Part,I Am My Sister's Keeper,Warrior Pride
nm0684502,7.0,7,7,Melissa Talbot,I Am My Sister's Keeper,Stay in Your Place,Warrior Pride
nm0684509,6.3,2218,244061,Bryan Dobrik,Disconnect,Shades of Grace,The Informant!
nm0684596,7.7,840,43721,Lawrence Loewinger,How to Lose Friends & Alienate People,The Bourne Ultimatum,Bogdan's Journey
nm0684666,7.0,170,2728,Felipe Bragança,The Joy,"Don't Swallow My Heart, Alligator Girl!","A Fuga, a Raiva, a Danca, a Bunda, a Boca, a Calma, a Vida da Mulher Gorila"
nm0684762,6.0,57,572,Marina Meliande,Mormaço,Neverquiet,"A Fuga, a Raiva, a Danca, a Bunda, a Boca, a Calma, a Vida da Mulher Gorila"
nm0684786,4.2,32,64,Simcha Jacobovici,Impact of Terror,The Struma,Deadly Currents
nm0684822,5.5,9,88,Beto Gómez,Volando Bajo,Saving Private Perez,Pink Punch
nm0684828,7.0,20,20,Jeff Miller,The Russian Bride,The Toybox,Death Kiss
nm0684850,7.6,604,2416,Seth Kenlon,Deadpool,The Hunger Games: Mockingjay - Part 2,Spectral
nm0684978,6.1,99,1193,Michael J. Hein,Devil's Grove,Biohazardous,Bloody Crisis
nm0685034,4.3,2461,211669,Kevin Strange,CockHammer,Nixon and Hogan Smoke Christmas,Colonel Kill Motherfuckers
nm0685144,6.2,40,282,Kenny Joslen,Tales of Fear,Nixon and Hogan Smoke Christmas,The Pizza Delivery Massacre
nm0685156,7.4,48,97,Robert Dyke,Evil Dead II,Harry and the Hendersons,Moontrap
nm0685289,6.3,799,3197,Ramy Katrib,Crank,Bubba Ho-Tep,Southland Tales
nm0685297,7.9,210,842,Michael D. McAllister,Evil Dead II,Breaking Through,Last Ride
nm0685309,5.4,99,1998,C.L. Hor,The Loan Shark,Haq,Four Dragons
nm0685314,5.6,342,3772,Montgomery Hom,Village of the Damned,Basic Instinct,We Served with Pride: The Chinese American Experience in WWII
nm0685333,6.6,428,8149,Steve Goldenberg,Where Evil Lives,Top Cop,Dead Dudes in the House
nm0685454,6.8,47,612,Dorian Knight,I Think I'm Going,Murmurs,Piranha-Man vs. Werewolf Man: Howl of the Piranha
nm0685494,4.8,43,86,Steven Calcote,Ultraviolet,Van Von Hunter,Minyan in Kaifeng
nm0685512,6.9,37,819,Duane Graves,Butcher Boys,The Wild Man of the Navidad,Up Syndrome
nm0685515,4.1,16,16,Justin Paul Ritter,Dead Man's Curve,KatieBird *Certifiable Crazy Person,The Amazing Adventures of the Living Corpse
nm0685526,7.4,259,518,Rick Jordan,Heist,The Remnant,Stage Fright
nm0685563,3.8,28,28,Rick Cooper,A Conspiracy,Heist,Stage Fright
nm0685625,7.4,211,12672,Edwin L. Marshall,Devious Beings,Pastor Shepherd,To End All Wars
nm0685638,6.9,11,22,Fabien Pruvot,Killer Weekend,Devil's Highway,Sin's Kitchen
nm0685662,6.5,92,737,Jason J. Tomaric,The Uninvited,One,Cl.One
nm0685759,4.5,71306,2353110,Adrian DeLude,X-Men: Days of Future Past,Cloverfield,Transformers
nm0685789,5.9,480,9135,Rizwan Manji,Charlie Wilson's War,Paterson,Transformers
nm0685923,5.0,2110,73876,Harry Locke IV,X-Men: Days of Future Past,Icarus,Tangerine
nm0685979,5.0,8,24,Shih-Ching Tsou,The Florida Project,Starlet,Tangerine
nm0685985,5.5,10,40,Neeraj Pathak,Gumnaam: The Mystery,Bhaiaji Superhit,Pardes
nm0686020,6.6,843,29538,Eduardo Mendoza de Echave,The Last Hour,The Gospel of the Flesh,Mañana te cuento
nm0686074,6.6,241,1932,Coco Castillo,Don't Tell Anyone,Peloteros,Mañana te cuento
nm0686099,5.8,15201,136811,Paul Hart,The Gift,Open,Homewrecker
nm0686136,6.7,127,1652,Randy Scooter Lammey,Harvest,Kicking the Dog,In Justice
nm0686233,7.2,4937,34559,Mike Tyler,The Death of Milo Freedman,Lady in the Water,In Justice
nm0686304,7.1,4096,249884,Philip Kim,Radio Free Albemuth,Flying Saucer Rock 'N' Roll,World's End
nm0686320,6.7,7,14,David Betances,Strike One,Scrambled,1st Strike
nm0686335,5.2,12,25,Mark Ezra,House Swap,Slaughter High,Savage Hearts
nm0686375,6.3,3217,183391,Erik Rodgers,The Sessions,Carrier,Disappearing in America
nm0686506,6.6,259,3371,Fred Andrews,A Haunted House,The Crow: Wicked Prayer,Creature
nm0686628,7.1,5,22,Dan Fogler,Good Luck Chuck,Fantastic Beasts and Where to Find Them,Don Peyote
nm0686742,6.2,10,20,Ta-Chao Lin,Chivalrous Inn,Shaolin Traitor,The 36 Shaolin Beads
nm0686927,5.5,62,566,Stefan Jäger,Il pugno di Gesù,Misguided Angel,Birthday
nm0687042,6.1,56082,5439954,Lúcia Murat,How Nice to See You Alive,Praça Paris,Almost Brothers
nm0687250,7.5,20,20,Michael Dugan,Mausoleum,Super Seal,Raging Hormones
nm0687300,7.3,46,46,Jonathan Zarantonello,The Butterfly Room,Uncut,Medley - Brandelli di scuola
nm0687325,6.1,339,339,Dev Anand,Kala Bazar,Kala Pani,Prem Pujari
nm0687427,4.9,16973,729879,Marcel Bystron,Dve nevesty a jedna svatba,How to Shake Off a Bride,Born Into Sh*t
nm0687475,4.5,26,106,Kent Butterworth,Batman: The Killing Joke,Attila and the Great Blue Bean,An American Tail
nm0687625,3.2,68,136,Lee McCaulla,Streaker,Space Jam,Aladdin
nm0687655,3.3,57,57,Pablo Veliz,Double Dagger,La tragedia de Macario,Book of Ruth
nm0687739,6.8,1352,54092,Wyatt Weed,Shadowland,Mission: Impossible II,Fortress
nm0687751,6.9,2362,70884,Alan Lomax,Basic,Mission: Impossible II,Gangs of New York
nm0687884,5.9,15,15,Douglas Schulze,Hellmaster,The Dark Below,Dark Fields
nm0687913,6.3,904,46133,Varun Khanna,American Blend,Bad Luck Govind,Beyond Honor
nm0688040,7.1,146,1024,Peter James Iengo,Where Hearts Lie,Cassanova Was a Woman,C Street
nm0688076,6.9,189,4369,Rasmus Heide,All for Two,Take the Trash,All for One
nm0688191,7.2,37,858,Vilma Zenelaj,What Do I Do Now?,In the Woods,Shqipe
nm0688198,7.7,403,4836,Kim Robinson,Sybil Ludington,New,The Light of Freedom
nm0688282,5.1,17053,613920,Dean Francis,Drown,Crazy Richard,Road Kill
nm0688361,7.4,31847,509552,Mark Hannah,Amazed by You,Straight Into Darkness,From a Whisper to a Scream
nm0688364,7.5,50,656,Rupert Hitzig,Cattle Annie and Little Britches,Electra Glide in Blue,Jaws 3-D
nm0688400,5.9,23,23,Indra Kumar,Dhamaal,Raja,Ishq
nm0688503,7.0,66,934,Joel Soisson,Feast,The Prophecy,Piranha 3DD
nm0688544,6.3,467,9811,W.K. Border,Bill & Ted's Excellent Adventure,The Prophecy,Dracula 2000
nm0688585,5.9,10911,1429424,Eric Stoltz,Mask,The Prophecy,Pulp Fiction
nm0688636,7.3,16438,345207,Andy Graham,No Country for Old Men,The Prophecy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
nm0688646,6.0,95,6376,Harri James,Feast,Out of These Rooms,The Chase
nm0688783,5.7,32,288,Roy Watts,Beowulf,Angel,The Chase
